      X       Y           ¦Ñs            ¦Çs
     6.5    -2.0     1.058708E+02     0.000000E+00
     7.0    -2.5     1.016284E+02     0.000000E+00
     7.5    -3.0     1.003993E+02     0.000000E+00
     8.0    -3.5     1.011827E+02     0.000000E+00
     8.5    -4.0     1.026557E+02     0.000000E+00
     9.0    -4.5     1.041065E+02     0.000000E+00
     9.5    -5.0     1.051277E+02     0.000000E+00
    10.0    -5.5     1.051209E+02     0.000000E+00
    10.5    -6.0     1.029628E+02     0.000000E+00
    11.0    -6.5     9.754881E+01     0.000000E+00
    11.5    -7.0     9.065658E+01     0.000000E+00
    12.0    -7.5     8.379185E+01     0.000000E+00
    12.5    -8.0     7.801299E+01     0.000000E+00
    13.0    -8.5     7.415024E+01     0.000000E+00
    13.5    -9.0     7.292930E+01     0.000000E+00
    14.0    -9.5     7.454850E+01     0.000000E+00
    14.5   -10.0     7.742478E+01     0.000000E+00
    15.0   -10.5     8.055916E+01     0.000000E+00
    15.5   -11.0     8.347225E+01     0.000000E+00
    16.0   -11.5     8.602340E+01     0.000000E+00
    16.5   -12.0     8.816428E+01     0.000000E+00
    17.0   -12.5     8.993359E+01     0.000000E+00
    17.5   -13.0     9.138213E+01     0.000000E+00
    18.0   -13.5     9.256848E+01     0.000000E+00
    18.5   -14.0     9.354031E+01     0.000000E+00
    19.0   -14.5     9.433173E+01     0.000000E+00
    19.5   -15.0     9.499478E+01     0.000000E+00
    20.0   -15.5     9.554891E+01     0.000000E+00
     6.5    -1.0     8.559686E+01     0.000000E+00
     7.0    -1.5     1.084737E+02     0.000000E+00
     7.5    -2.0     1.059129E+02     0.000000E+00
     8.0    -2.5     1.017273E+02     0.000000E+00
     8.5    -3.0     1.005929E+02     0.000000E+00
     9.0    -3.5     1.015058E+02     0.000000E+00
     9.5    -4.0     1.030927E+02     0.000000E+00
    10.0    -4.5     1.044845E+02     0.000000E+00
    10.5    -5.0     1.049115E+02     0.000000E+00
    11.0    -5.5     1.032256E+02     0.000000E+00
    11.5    -6.0     9.827209E+01     0.000000E+00
    12.0    -6.5     9.165568E+01     0.000000E+00
    12.5    -7.0     8.485751E+01     0.000000E+00
    13.0    -7.5     7.894848E+01     0.000000E+00
    13.5    -8.0     7.480116E+01     0.000000E+00
    14.0    -8.5     7.319494E+01     0.000000E+00
    14.5    -9.0     7.440121E+01     0.000000E+00
    15.0    -9.5     7.695387E+01     0.000000E+00
    15.5   -10.0     7.986346E+01     0.000000E+00
    16.0   -10.5     8.267522E+01     0.000000E+00
    16.5   -11.0     8.517150E+01     0.000000E+00
    17.0   -11.5     8.731731E+01     0.000000E+00
    17.5   -12.0     8.911264E+01     0.000000E+00
    18.0   -12.5     9.060546E+01     0.000000E+00
    18.5   -13.0     9.183563E+01     0.000000E+00
    19.0   -13.5     9.285189E+01     0.000000E+00
    19.5   -14.0     9.369221E+01     0.000000E+00
    20.0   -14.5     9.439559E+01     0.000000E+00
    20.5   -15.0     9.498468E+01     0.000000E+00
    21.0   -15.5     9.549318E+01     0.000000E+00
     7.5    -1.0     8.560123E+01     0.000000E+00
     8.0    -1.5     1.084949E+02     0.000000E+00
     8.5    -2.0     1.059746E+02     0.000000E+00
     9.0    -2.5     1.018666E+02     0.000000E+00
     9.5    -3.0     1.008501E+02     0.000000E+00
    10.0    -3.5     1.018876E+02     0.000000E+00
    10.5    -4.0     1.034708E+02     0.000000E+00
    11.0    -4.5     1.043888E+02     0.000000E+00
    11.5    -5.0     1.033180E+02     0.000000E+00
    12.0    -5.5     9.897861E+01     0.000000E+00
    12.5    -6.0     9.277033E+01     0.000000E+00
    13.0    -6.5     8.610525E+01     0.000000E+00
    13.5    -7.0     8.008901E+01     0.000000E+00
    14.0    -7.5     7.564910E+01     0.000000E+00
    14.5    -8.0     7.361086E+01     0.000000E+00
    15.0    -8.5     7.434643E+01     0.000000E+00
    15.5    -9.0     7.650892E+01     0.000000E+00
    16.0    -9.5     7.916199E+01     0.000000E+00
    16.5   -10.0     8.180901E+01     0.000000E+00
    17.0   -10.5     8.423589E+01     0.000000E+00
    17.5   -11.0     8.635938E+01     0.000000E+00
    18.0   -11.5     8.817461E+01     0.000000E+00
    18.5   -12.0     8.970956E+01     0.000000E+00
    19.0   -12.5     9.098814E+01     0.000000E+00
    19.5   -13.0     9.204924E+01     0.000000E+00
    20.0   -13.5     9.294390E+01     0.000000E+00
    20.5   -14.0     9.368810E+01     0.000000E+00
    21.0   -14.5     9.432261E+01     0.000000E+00
    21.5   -15.0     9.486852E+01     0.000000E+00
    22.0   -15.5     9.534272E+01     0.000000E+00
     8.5    -1.0     8.560776E+01     0.000000E+00
     9.0    -1.5     1.085256E+02     0.000000E+00
     9.5    -2.0     1.060621E+02     0.000000E+00
    10.0    -2.5     1.020537E+02     0.000000E+00
    10.5    -3.0     1.011628E+02     0.000000E+00
    11.0    -3.5     1.022414E+02     0.000000E+00
    11.5    -4.0     1.034753E+02     0.000000E+00
    12.0    -4.5     1.030988E+02     0.000000E+00
    12.5    -5.0     9.955997E+01     0.000000E+00
    13.0    -5.5     9.393082E+01     0.000000E+00
    13.5    -6.0     8.752242E+01     0.000000E+00
    14.0    -6.5     8.146353E+01     0.000000E+00
    14.5    -7.0     7.672939E+01     0.000000E+00
    15.0    -7.5     7.422591E+01     0.000000E+00
    15.5    -8.0     7.442374E+01     0.000000E+00
    16.0    -8.5     7.613051E+01     0.000000E+00
    16.5    -9.0     7.845332E+01     0.000000E+00
    17.0    -9.5     8.089878E+01     0.000000E+00
    17.5   -10.0     8.321364E+01     0.000000E+00
    18.0   -10.5     8.529824E+01     0.000000E+00
    18.5   -11.0     8.711749E+01     0.000000E+00
    19.0   -11.5     8.867034E+01     0.000000E+00
    19.5   -12.0     8.999382E+01     0.000000E+00
    20.0   -12.5     9.110790E+01     0.000000E+00
    20.5   -13.0     9.204924E+01     0.000000E+00
    21.0   -13.5     9.284453E+01     0.000000E+00
    21.5   -14.0     9.352800E+01     0.000000E+00
    22.0   -14.5     9.410822E+01     0.000000E+00
    22.5   -15.0     9.461601E+01     0.000000E+00
    23.0   -15.5     9.508080E+01     0.000000E+00
     9.5    -1.0     8.561727E+01     0.000000E+00
    10.0    -1.5     1.085693E+02     0.000000E+00
    10.5    -2.0     1.061813E+02     0.000000E+00
    11.0    -2.5     1.022875E+02     0.000000E+00
